lemma,"poscode","surface"
Avignon,"0","Avignon"
Aviles,"0","Aviles"
Avon Park,"0","Avon Park"
Awasa,"0","Awasa"
Axum,"0","Axum"
Ayacucho,"0","Ayacucho"
Béchar,"0","Béchar"
Büsum,"0","Büsum"
BLUMENAU,"0","BLUMENAU"
BRISTOL,"0","BRISTOL"
Babelthuap,"0","Babelthuap"
Babo,"0","Babo"
Bacau,"0","Bacau"
Baco,"0","Baco"
Bacolod,"0","Bacolod"
Badajoz,"0","Badajoz"
Badu Island,"0","Badu Island"
Bafoussam,"0","Bafoussam"
Bagan,"0","Bagan"
Bage,"0","Bage"
Baghdad,"0","Baghdad"
Baghdogra,"0","Baghdogra"
Bagotville,"0","Bagotville"
Baguio,"0","Baguio"
Bahar Dar,"0","Bahar Dar"
Bahawalpur,"0","Bahawalpur"
Bahia Blanca,"0","Bahia Blanca"
Bahia Solano,"0","Bahia Solano"
Bahrain,"0","Bahrain"
Baia Mare,"0","Baia Mare"
Baie Comeau,"0","Baie Comeau"
Bainbridge,"0","Bainbridge"
Bairnsdale,"0","Bairnsdale"
Bajhang,"0","Bajhang"
Bajura,"0","Bajura"
Bakalalan,"0","Bakalalan"
Bakel,"0","Bakel"
Baker City,"0","Baker City"
Baker Lake,"0","Baker Lake"
Bakersfield,"0","Bakersfield"
Bakhtaran,"0","Bakhtaran"
Baku,"0","Baku"
Balakovo,"0","Balakovo"
Balikesir Korfez,"0","Balikesir Korfez"
Balikesir,"0","Balikesir"
Balikpapan,"0","Balikpapan"
Balkhash,"0","Balkhash"
Ballalae,"0","Ballalae"
Ballina Byron Bay,"0","Ballina Byron Bay"
Ballston Spa,"0","Ballston Spa"
Balmaceda,"0","Balmaceda"
Baltimore,"0","Baltimore"
Bam,"0","Bam"
Bamako,"0","Bamako"
Bamburi,"0","Bamburi"
Bamenda,"0","Bamenda"
Bamyan,"0","Bamyan"
Banda Aceh,"0","Banda Aceh"
Bandar Abbas,"0","Bandar Abbas"
Bandar Lampung-Sumatra Island,"0","Bandar Lampung-Sumatra Island"
Bandar Lengeh,"0","Bandar Lengeh"
Bandar Mahshahr,"0","Bandar Mahshahr"
Bandar Seri Begawan,"0","Bandar Seri Begawan"
Bandirma,"0","Bandirma"
Bandoundu,"0","Bandoundu"
Bandung,"0","Bandung"
Banff,"0","Banff"
Bangalore,"0","Bangalore"
Bangda,"0","Bangda"
Bangkok,"0","Bangkok"
Bangor,"0","Bangor"
Bangui,"0","Bangui"
Banja Luka,"0","Banja Luka"
Banjarmasin,"0","Banjarmasin"
Banjul,"0","Banjul"
Banmaw,"0","Banmaw"
Banning,"0","Banning"
Bannu,"0","Bannu"
Bantry,"0","Bantry"
Baotou,"0","Baotou"
Bar Harbor,"0","Bar Harbor"
Baraboo,"0","Baraboo"
Baracoa Playa,"0","Baracoa Playa"
Barahona,"0","Barahona"
Barcaldine,"0","Barcaldine"
Barcelona,"0","Barcelona"
Barcelos,"0","Barcelos"
Bardufoss,"0","Bardufoss"
Bari,"0","Bari"
Barinas,"0","Barinas"
Bario,"0","Bario"
Barisal,"0","Barisal"
Barking Sands,"0","Barking Sands"
Barnaul,"0","Barnaul"
Barnstable,"0","Barnstable"
Baroda,"0","Baroda"
Barquisimeto,"0","Barquisimeto"
Barra,"0","Barra"
Barrancabermeja,"0","Barrancabermeja"
Barranquilla,"0","Barranquilla"
Barreiras,"0","Barreiras"
Barretos,"0","Barretos"
Barrie-Orillia,"0","Barrie-Orillia"
Barrow Island,"0","Barrow Island"
Barrow,"0","Barrow"
Barter Island,"0","Barter Island"
Barth,"0","Barth"
Bartica,"0","Bartica"
Bartow,"0","Bartow"
Barysiai,"0","Barysiai"
Basankusu,"0","Basankusu"
Basco,"0","Basco"
Basrah,"0","Basrah"
Basse Terre,"0","Basse Terre"
Bastia,"0","Bastia"
Bata,"0","Bata"
Batajnica,"0","Batajnica"
Batam,"0","Batam"
Batavia,"0","Batavia"
