lemma,"poscode","surface"
BGM,"0","BGM"
BGO,"0","BGO"
BGR,"0","BGR"
BGW,"0","BGW"
BGX,"0","BGX"
BGY,"0","BGY"
BHB,"0","BHB"
BHD,"0","BHD"
BHE,"0","BHE"
BHG,"0","BHG"
BHH,"0","BHH"
BHI,"0","BHI"
BHJ,"0","BHJ"
BHK,"0","BHK"
BHM,"0","BHM"
BHN,"0","BHN"
BHO,"0","BHO"
BHP,"0","BHP"
BHQ,"0","BHQ"
BHR,"0","BHR"
BHS,"0","BHS"
BHU,"0","BHU"
BHV,"0","BHV"
BHX,"0","BHX"
BHY,"0","BHY"
BIA,"0","BIA"
BID,"0","BID"
BIF,"0","BIF"
BIG,"0","BIG"
BIH,"0","BIH"
BIK,"0","BIK"
BIL,"0","BIL"
BIM,"0","BIM"
BIN,"0","BIN"
BIO,"0","BIO"
BIQ,"0","BIQ"
BIR,"0","BIR"
BIS,"0","BIS"
BIU,"0","BIU"
BIV,"0","BIV"
BIX,"0","BIX"
BIY,"0","BIY"
BJA,"0","BJA"
BJB,"0","BJB"
BJC,"0","BJC"
BJF,"0","BJF"
BJH,"0","BJH"
BJI,"0","BJI"
BJL,"0","BJL"
BJM,"0","BJM"
BJO,"0","BJO"
BJP,"0","BJP"
BJR,"0","BJR"
BJU,"0","BJU"
BJV,"0","BJV"
BJX,"0","BJX"
BJY,"0","BJY"
BJZ,"0","BJZ"
BKA,"0","BKA"
BKC,"0","BKC"
BKD,"0","BKD"
BKE,"0","BKE"
BKF,"0","BKF"
BKH,"0","BKH"
BKI,"0","BKI"
BKK,"0","BKK"
BKL,"0","BKL"
BKM,"0","BKM"
BKO,"0","BKO"
BKQ,"0","BKQ"
BKS,"0","BKS"
BKW,"0","BKW"
BKY,"0","BKY"
BKZ,"0","BKZ"
BLA,"0","BLA"
BLB,"0","BLB"
BLE,"0","BLE"
BLF,"0","BLF"
BLG,"0","BLG"
BLH,"0","BLH"
BLI,"0","BLI"
BLJ,"0","BLJ"
BLK,"0","BLK"
BLL,"0","BLL"
BLQ,"0","BLQ"
BLR,"0","BLR"
BLT,"0","BLT"
BLV,"0","BLV"
BLZ,"0","BLZ"
BMA,"0","BMA"
BMB,"0","BMB"
BMC,"0","BMC"
BMD,"0","BMD"
BME,"0","BME"
BMG,"0","BMG"
BMI,"0","BMI"
BMK,"0","BMK"
BMM,"0","BMM"
BMO,"0","BMO"
BMP,"0","BMP"
BMQ,"0","BMQ"
BMT,"0","BMT"
BMU,"0","BMU"
BMV,"0","BMV"
BMW,"0","BMW"
BMX,"0","BMX"
BMY,"0","BMY"
BNA,"0","BNA"
BNB,"0","BNB"
BNC,"0","BNC"
BND,"0","BND"
BNE,"0","BNE"
BNG,"0","BNG"
BNI,"0","BNI"
BNK,"0","BNK"
BNN,"0","BNN"
BNP,"0","BNP"
BNS,"0","BNS"
BNU,"0","BNU"
BNX,"0","BNX"
BOA,"0","BOA"
BOB,"0","BOB"
BOC,"0","BOC"
BOD,"0","BOD"
BOG,"0","BOG"
BOH,"0","BOH"
BOI,"0","BOI"
BOJ,"0","BOJ"
BOM,"0","BOM"
BON,"0","BON"
BOO,"0","BOO"
BOR,"0","BOR"
BOS,"0","BOS"
BOU,"0","BOU"
BOW,"0","BOW"
BOX,"0","BOX"
BOY,"0","BOY"
BPC,"0","BPC"
BPE,"0","BPE"
BPI,"0","BPI"
BPL,"0","BPL"
BPM,"0","BPM"
BPN,"0","BPN"
BPR,"0","BPR"
BPS,"0","BPS"
BPT,"0","BPT"
BPX,"0","BPX"
BPY,"0","BPY"
BQB,"0","BQB"
BQE,"0","BQE"
BQH,"0","BQH"
BQK,"0","BQK"
BQL,"0","BQL"
BQN,"0","BQN"
BQS,"0","BQS"
BQT,"0","BQT"
BQU,"0","BQU"
BRA,"0","BRA"
BRC,"0","BRC"
BRD,"0","BRD"
BRE,"0","BRE"
BRI,"0","BRI"
BRK,"0","BRK"
BRL,"0","BRL"
BRM,"0","BRM"
BRN,"0","BRN"
BRO,"0","BRO"
BRQ,"0","BRQ"
BRR,"0","BRR"
BRS,"0","BRS"
BRT,"0","BRT"
BRU,"0","BRU"
BRV,"0","BRV"
BRW,"0","BRW"
BRX,"0","BRX"
BSA,"0","BSA"
BSB,"0","BSB"
BSC,"0","BSC"
BSF,"0","BSF"
BSG,"0","BSG"
BSJ,"0","BSJ"
BSK,"0","BSK"
BSL,"0","BSL"
BSO,"0","BSO"
BSR,"0","BSR"
BST,"0","BST"
BSU,"0","BSU"
BSX,"0","BSX"
BTE,"0","BTE"
BTH,"0","BTH"
BTI,"0","BTI"
BTJ,"0","BTJ"
BTK,"0","BTK"
BTL,"0","BTL"
BTM,"0","BTM"
BTR,"0","BTR"
BTS,"0","BTS"
BTT,"0","BTT"
BTU,"0","BTU"
BTV,"0","BTV"
BTZ,"0","BTZ"
BUA,"0","BUA"
BUC,"0","BUC"
BUD,"0","BUD"
BUF,"0","BUF"
BUG,"0","BUG"
BUI,"0","BUI"
BUN,"0","BUN"
BUO,"0","BUO"
BUQ,"0","BUQ"
BUR,"0","BUR"
BUS,"0","BUS"
BUT,"0","BUT"
BUU,"0","BUU"
BUW,"0","BUW"
BUX,"0","BUX"
BUY,"0","BUY"
BUZ,"0","BUZ"
BVA,"0","BVA"
BVB,"0","BVB"
BVC,"0","BVC"
BVE,"0","BVE"
BVG,"0","BVG"
BVH,"0","BVH"
BVI,"0","BVI"
BVS,"0","BVS"
BVY,"0","BVY"
BWA,"0","BWA"
BWB,"0","BWB"
BWE,"0","BWE"
BWF,"0","BWF"
BWG,"0","BWG"
BWI,"0","BWI"
BWK,"0","BWK"
BWN,"0","BWN"
BWO,"0","BWO"
BWT,"0","BWT"
BWU,"0","BWU"
BWW,"0","BWW"
BXB,"0","BXB"
BXE,"0","BXE"
BXH,"0","BXH"
BXK,"0","BXK"
BXN,"0","BXN"
BXO,"0","BXO"
BXP,"0","BXP"
BXR,"0","BXR"
BXU,"0","BXU"
BYC,"0","BYC"
BYH,"0","BYH"
BYI,"0","BYI"
BYK,"0","BYK"
BYM,"0","BYM"
BYN,"0","BYN"
BYO,"0","BYO"
BYS,"0","BYS"
BYT,"0","BYT"
BYU,"0","BYU"
BYY,"0","BYY"
BZA,"0","BZA"
BZC,"0","BZC"
BZE,"0","BZE"
BZG,"0","BZG"
BZI,"0","BZI"
BZK,"0","BZK"
BZL,"0","BZL"
BZN,"0","BZN"
BZO,"0","BZO"
BZR,"0","BZR"
BZV,"0","BZV"
BZY,"0","BZY"
BZZ,"0","BZZ"
C03,"0","C03"
CAB,"0","CAB"
CAC,"0","CAC"
CAE,"0","CAE"
CAF,"0","CAF"
CAG,"0","CAG"
CAH,"0","CAH"
CAI,"0","CAI"
CAJ,"0","CAJ"
CAK,"0","CAK"
CAL,"0","CAL"
CAN,"0","CAN"
CAP,"0","CAP"
CAQ,"0","CAQ"
CAR,"0","CAR"
CAT,"0","CAT"
CAU,"0","CAU"
CAW,"0","CAW"
CAX,"0","CAX"
CAY,"0","CAY"
CAZ,"0","CAZ"
CBB,"0","CBB"
CBE,"0","CBE"
CBF,"0","CBF"
CBG,"0","CBG"
CBH,"0","CBH"
CBL,"0","CBL"
CBM,"0","CBM"
CBN,"0","CBN"
CBO,"0","CBO"
CBQ,"0","CBQ"
CBR,"0","CBR"
CBT,"0","CBT"
CBV,"0","CBV"
CCB,"0","CCB"
CCC,"0","CCC"
CCF,"0","CCF"
CCH,"0","CCH"
CCI,"0","CCI"
CCJ,"0","CCJ"
CCK,"0","CCK"
CCL,"0","CCL"
CCM,"0","CCM"
CCN,"0","CCN"
CCO,"0","CCO"
CCP,"0","CCP"
CCR,"0","CCR"
CCS,"0","CCS"
CCU,"0","CCU"
CCV,"0","CCV"
CCX,"0","CCX"
CCY,"0","CCY"
CCZ,"0","CCZ"
CDA,"0","CDA"
CDB,"0","CDB"
CDC,"0","CDC"
CDG,"0","CDG"
CDJ,"0","CDJ"
CDN,"0","CDN"
CDP,"0","CDP"
CDR,"0","CDR"
CDS,"0","CDS"
CDT,"0","CDT"
CDU,"0","CDU"
CDV,"0","CDV"
CDW,"0","CDW"
CEB,"0","CEB"
CEC,"0","CEC"
CED,"0","CED"
CEE,"0","CEE"
CEF,"0","CEF"
CEG,"0","CEG"
CEI,"0","CEI"
CEJ,"0","CEJ"
CEK,"0","CEK"
CEM,"0","CEM"
CEN,"0","CEN"
CEQ,"0","CEQ"
CER,"0","CER"
CES,"0","CES"
CET,"0","CET"
CEU,"0","CEU"
CEW,"0","CEW"
CEZ,"0","CEZ"
CFB,"0","CFB"
CFC,"0","CFC"
CFD,"0","CFD"
CFE,"0","CFE"
CFG,"0","CFG"
CFN,"0","CFN"
CFO,"0","CFO"
CFR,"0","CFR"
CFS,"0","CFS"
CFU,"0","CFU"
CFV,"0","CFV"
CGB,"0","CGB"
CGC,"0","CGC"
CGD,"0","CGD"
CGF,"0","CGF"
CGH,"0","CGH"
CGI,"0","CGI"
CGK,"0","CGK"
CGM,"0","CGM"
CGN,"0","CGN"
CGO,"0","CGO"
CGP,"0","CGP"
CGQ,"0","CGQ"
CGR,"0","CGR"
CGX,"0","CGX"
CGY,"0","CGY"
CGZ,"0","CGZ"
CHA,"0","CHA"
CHC,"0","CHC"
CHG,"0","CHG"
CHH,"0","CHH"
CHM,"0","CHM"
CHN,"0","CHN"
CHO,"0","CHO"
CHQ,"0","CHQ"
CHR,"0","CHR"
CHS,"0","CHS"
CHT,"0","CHT"
CHX,"0","CHX"
CHY,"0","CHY"
CIA,"0","CIA"
CIC,"0","CIC"
CID,"0","CID"
CIF,"0","CIF"
CIH,"0","CIH"
CIJ,"0","CIJ"
CIK,"0","CIK"
CIO,"0","CIO"
CIP,"0","CIP"
CIS,"0","CIS"
CIT,"0","CIT"
CIU,"0","CIU"
CIW,"0","CIW"
CIX,"0","CIX"
CIY,"0","CIY"
CIZ,"0","CIZ"
CJA,"0","CJA"
CJB,"0","CJB"
CJC,"0","CJC"
CJF,"0","CJF"
CJJ,"0","CJJ"
CJL,"0","CJL"
CJM,"0","CJM"
CJS,"0","CJS"
CJU,"0","CJU"
CKB,"0","CKB"
CKC,"0","CKC"
CKF,"0","CKF"
CKG,"0","CKG"
CKH,"0","CKH"
CKL,"0","CKL"
CKS,"0","CKS"
CKV,"0","CKV"
CKY,"0","CKY"
CKZ,"0","CKZ"
CLD,"0","CLD"
CLE,"0","CLE"
CLJ,"0","CLJ"
CLL,"0","CLL"
CLM,"0","CLM"
CLN,"0","CLN"
CLO,"0","CLO"
CLQ,"0","CLQ"
CLS,"0","CLS"
CLT,"0","CLT"
CLU,"0","CLU"
CLV,"0","CLV"
CLW,"0","CLW"
CLY,"0","CLY"
CMA,"0","CMA"
CMB,"0","CMB"
CME,"0","CME"
CMF,"0","CMF"
CMG,"0","CMG"
CMH,"0","CMH"
CMI,"0","CMI"
CMK,"0","CMK"
CMN,"0","CMN"
CMP,"0","CMP"
CMQ,"0","CMQ"
CMR,"0","CMR"
CMU,"0","CMU"
CMW,"0","CMW"
CMX,"0","CMX"
CNB,"0","CNB"
CNC,"0","CNC"
CND,"0","CND"
CNF,"0","CNF"
CNG,"0","CNG"
CNI,"0","CNI"
CNJ,"0","CNJ"
CNL,"0","CNL"
CNM,"0","CNM"
CNN,"0","CNN"
CNO,"0","CNO"
CNP,"0","CNP"
CNQ,"0","CNQ"
CNR,"0","CNR"
CNS,"0","CNS"
CNU,"0","CNU"
CNW,"0","CNW"
CNX,"0","CNX"
CNY,"0","CNY"
COC,"0","COC"
COD,"0","COD"
COE,"0","COE"
COF,"0","COF"
COG,"0","COG"
COH,"0","COH"
COJ,"0","COJ"
COK,"0","COK"
CON,"0","CON"
COO,"0","COO"
COQ,"0","COQ"
COR,"0","COR"
COS,"0","COS"
COT,"0","COT"
COU,"0","COU"
COX,"0","COX"
COZ,"0","COZ"
CPA,"0","CPA"
CPB,"0","CPB"
CPC,"0","CPC"
CPD,"0","CPD"
CPE,"0","CPE"
CPH,"0","CPH"
CPO,"0","CPO"
CPQ,"0","CPQ"
CPR,"0","CPR"
CPT,"0","CPT"
CPV,"0","CPV"
CPX,"0","CPX"
CQD,"0","CQD"
CQF,"0","CQF"
CQM,"0","CQM"
CQW,"0","CQW"
CRA,"0","CRA"
CRC,"0","CRC"
CRD,"0","CRD"
CRE,"0","CRE"
CRG,"0","CRG"
CRI,"0","CRI"
CRK,"0","CRK"
CRL,"0","CRL"
CRM,"0","CRM"
CRP,"0","CRP"
